location,listPrice,livingArea,additionalArea,plotArea,source,rooms,published,constructionYear,objectType,booliId,soldDate,soldPrice,soldPriceSource,url,rent,floor,isNewConstruction
"{'address': {'streetAddress': 'Dalvägen 1', 'city': 'Grycksbo'}, 'position': {'latitude': 60.69618511, 'longitude': 15.47931458}, 'namedAreas': ['Grycksbo'], 'region': {'municipalityName': 'Falun', 'countyName': 'Dalarnas län'}}",690000.0,45.0,45.0,1162.0,"{'name': 'Svensk Fastighetsförmedling', 'id': 713, 'type': 'Broker', 'url': 'http://www.svenskfast.se/'}",2.0,2018-09-14 20:55:52,1942.0,Villa,3240585,2018-10-04,905000,maklare,https://www.booli.se/annons/3240585,,,
"{'address': {'streetAddress': 'Klampvägen 42', 'city': 'Bjursås'}, 'position': {'latitude': 60.734771, 'longitude': 15.437546}, 'namedAreas': ['Bjursås'], 'region': {'municipalityName': 'Falun', 'countyName': 'Dalarnas län'}}",1495000.0,100.0,,2515.0,"{'name': 'Svensk Fastighetsförmedling', 'id': 713, 'type': 'Broker', 'url': 'http://www.svenskfast.se/'}",4.0,2019-05-24 23:08:23,,Villa,3458266,2019-06-02,1650000,maklare,https://www.booli.se/annons/3458266,,,
"{'address': {'streetAddress': 'Blockhusvägen 9', 'city': 'Falun'}, 'position': {'latitude': 60.58846878, 'longitude': 15.69118688}, 'namedAreas': ['Hälsinggården'], 'region': {'municipalityName': 'Falun', 'countyName': 'Dalarnas län'}}",2695000.0,90.0,88.0,980.0,"{'name': 'SkandiaMäklarna', 'id': 1570, 'type': 'Broker', 'url': 'http://www.skandiamaklarna.se/'}",5.0,2020-11-19 14:14:39,1963.0,Villa,4043322,2020-11-25,3300000,maklare,https://www.booli.se/annons/4043322,,,
"{'address': {'streetAddress': 'Ramsnäs 150'}, 'position': {'latitude': 60.6859362, 'longitude': 15.77540906}, 'namedAreas': ['Ramsnäs'], 'region': {'municipalityName': 'Falun', 'countyName': 'Dalarnas län'}}",260000.0,77.0,,2373.0,"{'name': 'SkandiaMäklarna', 'id': 1570, 'type': 'Broker', 'url': 'http://www.skandiamaklarna.se/'}",3.0,2020-12-03 16:03:42,1935.0,Villa,4057512,2020-12-22,900000,maklare,https://www.booli.se/annons/4057512,,,
"{'address': {'streetAddress': 'Kårtäkt 68'}, 'position': {'latitude': 60.66083766, 'longitude': 15.84147384}, 'namedAreas': ['Sundborn'], 'region': {'municipalityName': 'Falun', 'countyName': 'Dalarnas län'}}",3395000.0,118.0,46.0,1020.0,"{'name': 'SkandiaMäklarna', 'id': 1570, 'type': 'Broker', 'url': 'http://www.skandiamaklarna.se/'}",6.0,2020-12-30 01:09:00,1924.0,Villa,4081229,2021-01-15,3510000,maklare,https://www.booli.se/annons/4081229,,,
"{'address': {'streetAddress': 'Trappstigen 26', 'city': 'Falun'}, 'position': {'latitude': 60.615865, 'longitude': 15.633701}, 'namedAreas': ['Kyrkbacken'], 'region': {'municipalityName': 'Falun', 'countyName': 'Dalarnas län'}}",3995000.0,150.0,23.0,231.0,"{'name': 'Svensk Fastighetsförmedling', 'id': 713, 'type': 'Broker', 'url': 'http://www.svenskfast.se/'}",5.0,2020-11-20 19:28:53,1979.0,Villa,4045519,2020-12-14,4200000,maklare,https://www.booli.se/annons/4045519,,,
"{'address': {'streetAddress': 'Munktells väg 39', 'city': 'Grycksbo'}, 'position': {'latitude': 60.693037, 'longitude': 15.485197}, 'namedAreas': ['Grycksbo'], 'region': {'municipalityName': 'Falun', 'countyName': 'Dalarnas län'}}",1895000.0,87.0,85.0,1715.0,"{'name': 'Fastighetsbyrån', 'id': 1573, 'type': 'Broker', 'url': 'http://www.fastighetsbyran.se/'}",3.0,2020-10-29 18:39:23,1962.0,Villa,4019744,2020-12-11,2000000,bid,https://www.booli.se/annons/4019744,,,
"{'address': {'streetAddress': 'Vimmelmoravägen 12D', 'city': 'Falun'}, 'position': {'latitude': 60.604578, 'longitude': 15.590689}, 'namedAreas': ['Gamla Berget'], 'region': {'municipalityName': 'Falun', 'countyName': 'Dalarnas län'}}",2595000.0,107.0,,335.0,"{'name': 'HusmanHagberg', 'id': 1610, 'type': 'Broker', 'url': 'http://www.husmanhagberg.se/'}",4.0,2020-11-25 11:00:39,1991.0,Villa,4031635,2020-12-10,3255000,bobot,https://www.booli.se/annons/4031635,,,
"{'address': {'streetAddress': 'Övre Gruvrisvägen 80'}, 'position': {'latitude': 60.57849969, 'longitude': 15.58833569}, 'namedAreas': ['Övre Gruvriset'], 'region': {'municipalityName': 'Falun', 'countyName': 'Dalarnas län'}}",7950000.0,259.0,9.0,3116.0,"{'name': 'Svensk Fastighetsförmedling', 'id': 713, 'type': 'Broker', 'url': 'http://www.svenskfast.se/'}",8.0,2020-11-22 23:45:31,1990.0,Villa,4046686,2020-11-28,8800000,maklare,https://www.booli.se/annons/4046686,,,
"{'address': {'streetAddress': 'Kyrkbyvägen 47', 'city': 'Grycksbo'}, 'position': {'latitude': 60.683311, 'longitude': 15.488255}, 'namedAreas': ['Grycksbo'], 'region': {'municipalityName': 'Falun', 'countyName': 'Dalarnas län'}}",4150000.0,311.0,,4415.0,"{'name': 'Svensk Fastighetsförmedling', 'id': 713, 'type': 'Broker', 'url': 'http://www.svenskfast.se/'}",10.0,2020-11-09 21:26:57,1933.0,Villa,4031844,2020-11-28,5450000,maklare,https://www.booli.se/annons/4031844,,,
